"level","Scenario[Scenario]","Simulated Levels [1][Simulated Levels\Total]","Simulated Levels [1]_3663846051_3663846053[Simulated Levels\CDX.EM.OTR.5Y]"
"0","20250618","99.9735444016","99.9735444016"
"0","20250619","100","100"
"0","20250620","100.004097674","100.004097674"
"0","20250623","100.036387961","100.036387961"
"0","20250624","100.05635261","100.05635261"
"0","20250625","99.9673537232","99.9673537232"
"0","20250626","100.008506269","100.008506269"
"0","20250627","100.001650736","100.001650736"
"0","20250630","100.041584066","100.041584066"
"0","20250701","99.9988158134","99.9988158134"
"0","20250702","100.01736045","100.01736045"
"0","20250703","100.038851329","100.038851329"
"0","20250704","100","100"
"0","20250707","99.9500883962","99.9500883962"
"0","20250708","99.998529724","99.998529724"
"0","20250709","100.014648652","100.014648652"
"0","20250710","100.013380204","100.013380204"
"0","20250711","99.9840346846","99.9840346846"
"0","20250714","99.9898206246","99.9898206246"
"0","20250715","99.9903753303","99.9903753303"
"0","20250716","99.9910336037","99.9910336037"
"0","20250717","100.023574603","100.023574603"
"0","20250718","100.007858272","100.007858272"
"0","20250721","100.011166009","100.011166009"
"0","20250722","99.9954640988","99.9954640988"
"0","20250723","100.030037537","100.030037537"
"0","20250724","99.9949463748","99.9949463748"
"0","20250725","99.9948813341","99.9948813341"
"0","20250728","99.9870102836","99.9870102836"
"0","20250729","100.002337922","100.002337922"
"0","20250730","99.9932503267","99.9932503267"
"0","20250731","99.9993724154","99.9993724154"
"0","20250801","99.9364119919","99.9364119919"
"0","20250804","100.039982757","100.039982757"
"0","20250805","99.994851322","99.994851322"
"0","20250806","100.022776133","100.022776133"
"0","20250807","100.014119634","100.014119634"
"0","20250808","100.015155547","100.015155547"
"0","20250811","100.009328372","100.009328372"
"0","20250812","100.028300893","100.028300893"
"0","20250813","100.021597206","100.021597206"
"0","20250814","99.9992906506","99.9992906506"
"0","20250815","99.9989092167","99.9989092167"
"0","20250818","100.00616688","100.00616688"
"0","20250819","99.9924254741","99.9924254741"
"0","20250820","99.9850498958","99.9850498958"
"0","20250821","99.9903703333","99.9903703333"
"0","20250822","100.048512999","100.048512999"
"0","20250825","99.9832230798","99.9832230798"
"0","20250826","99.9933157201","99.9933157201"
"0","20250827","99.9941068798","99.9941068798"
"0","20250828","100.024515396","100.024515396"
"0","20250829","99.9893127362","99.9893127362"
"0","20250901","100","100"
"0","20250902","99.9777991915","99.9777991915"
"0","20250903","100.002989794","100.002989794"
"0","20250904","100.021623533","100.021623533"
"0","20250905","100.011564703","100.011564703"
"0","20250908","99.9758733674","99.9758733674"
"0","20250909","100.010023313","100.010023313"
"0","20250910","100.01939758","100.01939758"
"0","20250911","100.046183225","100.046183225"
"0","20250912","99.9814731909","99.9814731909"
"0","20250915","100.014754359","100.014754359"
"0","20250916","100.008070501","100.008070501"
"0","20250917","99.9979806719","99.9979806719"
"0","20250918","99.9724463626","99.9724463626"
"0","20250919","100.001967406","100.001967406"
"0","20250922","100.042484415","100.042484415"
"0","20250923","99.9859619257","99.9859619257"
"0","20250924","99.9917485309","99.9917485309"
"0","20250925","99.9631074331","99.9631074331"
"0","20250926","99.9915287614","99.9915287614"
"0","20250929","100.005335179","100.005335179"
"0","20250930","99.9805611903","99.9805611903"
"0","20251001","99.9888307304","99.9888307304"
"0","20251002","99.9908679855","99.9908679855"
"0","20251003","100.010392683","100.010392683"
"0","20251006","100.001194541","100.001194541"
"0","20251007","99.9911447099","99.9911447099"
"0","20251008","99.9977348536","99.9977348536"
"0","20251009","99.9840524734","99.9840524734"
"0","20251010","99.9000723581","99.9000723581"
"0","20251013","100","100"
"0","20251014","100.032921539","100.032921539"
"0","20251015","100.025096024","100.025096024"
"0","20251016","99.9690606754","99.9690606754"
"0","20251017","100.008925908","100.008925908"
