"level","Scenario[Scenario]","Simulated Levels [1][Simulated Levels\Total]","Simulated Levels [1]_3663846047_3663846049[Simulated Levels\CDX.NA.IG.OTR.5Y]"
"0","20251006","100.005271681","100.005271681"
"0","20251007","99.9954859101","99.9954859101"
"0","20251008","99.9948669559","99.9948669559"
"0","20251009","99.9939655885","99.9939655885"
"0","20251010","99.9680892712","99.9680892712"
"0","20251013","100","100"
"0","20251014","100.021643321","100.021643321"
"0","20251015","100.005044927","100.005044927"
"0","20251016","99.9797995909","99.9797995909"
"0","20251017","100.010243264","100.010243264"
